name,train_loss,train_acc,valid_loss,valid_acc,accuracy
simple_model,"[0.6688188314437866, 0.40725642442703247, 0.33634787797927856, 0.2915845811367035, 0.24838228523731232, 0.23794469237327576, 0.22161191701889038, 0.18730680644512177, 0.1781357377767563, 0.17306816577911377, 0.1713792085647583, 0.16512484848499298, 0.16537410020828247, 0.14900349080562592, 0.15026350319385529]","[0.7300624847412109, 0.819360077381134, 0.8556249737739563, 0.8774654269218445, 0.8991875052452087, 0.9013749957084656, 0.9083964824676514, 0.9243124723434448, 0.9279999732971191, 0.9313750267028809, 0.9331874847412109, 0.9357500076293945, 0.9333750009536743, 0.942312479019165, 0.9412059187889099]","[0.5254163146018982, 0.4053680896759033, 0.33124101161956787, 0.2361244112253189, 0.2258615344762802, 0.42377379536628723, 0.3136889934539795, 0.21448974311351776, 0.14462172985076904, 0.1710326224565506, 0.13872921466827393, 0.1898374706506729, 0.13936758041381836, 0.13011068105697632, 0.12790632247924805]","[0.7461333274841309, 0.824400007724762, 0.8528000116348267, 0.9049333333969116, 0.9103999733924866, 0.8493333458900452, 0.8565333485603333, 0.9139999747276306, 0.9438666701316833, 0.9362666606903076, 0.9472000002861023, 0.9317333102226257, 0.9457333087921143, 0.9516000151634216, 0.9490666389465332]",0.9605039496050395
simple_model_layer_5_soft_adam,"[0.6544807553291321, 0.5417621731758118, 0.5076758861541748, 0.44161152839660645, 0.3602142632007599, 0.2858045995235443, 0.24315695464611053, 0.21786072850227356, 0.19903503358364105, 0.20088757574558258, 0.1800634264945984, 0.17336812615394592, 0.16930362582206726, 0.1621880978345871, 0.1526084542274475]","[0.6153749823570251, 0.734330952167511, 0.7546250224113464, 0.7925615310668945, 0.8430905938148499, 0.8783125281333923, 0.8986913561820984, 0.9121875166893005, 0.918602466583252, 0.9189781546592712, 0.9284999966621399, 0.9300607442855835, 0.9327530860900879, 0.9359375238418579, 0.9404374957084656]","[0.5916422009468079, 0.523277223110199, 0.495209276676178, 0.4102083444595337, 0.31861844658851624, 0.24146606028079987, 0.2224380522966385, 0.19981695711612701, 0.18806135654449463, 0.16629765927791595, 0.15560343861579895, 0.14944463968276978, 0.15389898419380188, 0.14382553100585938, 0.13644865155220032]","[0.6880000233650208, 0.7453333139419556, 0.7625333070755005, 0.8197333216667175, 0.8673333525657654, 0.8978666663169861, 0.9121333360671997, 0.9179999828338623, 0.9245333075523376, 0.9313333630561829, 0.93586665391922, 0.9413333535194397, 0.9395999908447266, 0.9423999786376953, 0.9453333616256714]",0.9503049695030497
simple_model_layer_3_inc,"[0.5689035058021545, 0.4681468605995178, 0.371143102645874, 0.2777006924152374, 0.24225524067878723, 0.2210771143436432, 0.20711246132850647, 0.1897238790988922, 0.18273670971393585, 0.16066747903823853, 0.1477852314710617, 0.14366605877876282, 0.14529339969158173, 0.12942101061344147, 0.1323203593492508]","[0.7093124985694885, 0.7856875061988831, 0.8406875133514404, 0.8864374756813049, 0.904263973236084, 0.9104375243186951, 0.9183520078659058, 0.9242376685142517, 0.929562509059906, 0.9373239278793335, 0.9420199394226074, 0.9440624713897705, 0.9445870518684387, 0.9496250152587891, 0.9475625157356262]","[0.5327955484390259, 0.4161790609359741, 0.28800714015960693, 0.2312018871307373, 0.20901326835155487, 0.1908567100763321, 0.1693698912858963, 0.2150900661945343, 0.19346924126148224, 0.1476646065711975, 0.13904249668121338, 0.1536891758441925, 0.13009902834892273, 0.1279904693365097, 0.12846755981445312]","[0.7423999905586243, 0.8356000185012817, 0.8805333375930786, 0.9049333333969116, 0.9151999950408936, 0.925599992275238, 0.9315999746322632, 0.9153333306312561, 0.9281333088874817, 0.944266676902771, 0.9490666389465332, 0.940666675567627, 0.9472000002861023, 0.954800009727478, 0.9501333236694336]",0.9617038296170383
simple_model_layer_3_inc_soft_adam,"[0.5685731768608093, 0.4333780109882355, 0.28849467635154724, 0.23309823870658875, 0.20230628550052643, 0.1827971637248993, 0.1791292279958725, 0.15946756303310394, 0.14827664196491241, 0.14488013088703156, 0.14587734639644623, 0.13039498031139374, 0.1386442929506302, 0.12630218267440796, 0.12608762085437775]","[0.7016467452049255, 0.7975624799728394, 0.8783419728279114, 0.9020000100135803, 0.918874979019165, 0.9274374842643738, 0.9289963245391846, 0.9381874799728394, 0.9408928751945496, 0.942312479019165, 0.9428964853286743, 0.947404682636261, 0.946215033531189, 0.9512867331504822, 0.9515371322631836]","[0.4821600317955017, 0.35607418417930603, 0.23335370421409607, 0.20612236857414246, 0.171383336186409, 0.16487008333206177, 0.19673588871955872, 0.14590054750442505, 0.14225460588932037, 0.13552896678447723, 0.12974412739276886, 0.14064176380634308, 0.11972099542617798, 0.1249779760837555, 0.12773603200912476]","[0.7694666385650635, 0.8483999967575073, 0.9042666554450989, 0.9158666729927063, 0.9318666458129883, 0.9302666783332825, 0.9202666878700256, 0.9445333480834961, 0.9434666633605957, 0.9450666904449463, 0.9502666592597961, 0.9452000260353088, 0.9517333507537842, 0.9510666728019714, 0.9489333629608154]",0.9614038596140386
VGG16,"[0.3395385146141052, 0.14229966700077057, 0.10312352329492569, 0.09143758565187454, 0.08774688839912415, 0.06566231697797775, 0.0645819827914238, 0.0559154637157917, 0.05345968157052994, 0.05651634931564331, 0.051318056881427765, 0.0535849928855896, 0.05384257808327675, 0.05061308294534683, 0.0362621508538723]","[0.8286250233650208, 0.9446496963500977, 0.9610000252723694, 0.9646859765052795, 0.9671875238418579, 0.9755181074142456, 0.9767500162124634, 0.9793750047683716, 0.979812502861023, 0.9790244698524475, 0.9814375042915344, 0.9813125133514404, 0.9810000061988831, 0.9814664125442505, 0.9866633415222168]","[0.15406417846679688, 0.15916550159454346, 0.09042965620756149, 0.12339387089014053, 0.08718191087245941, 0.06942649930715561, 0.06701783090829849, 0.07309254258871078, 0.06346206367015839, 0.0822034701704979, 0.055318813771009445, 0.055904507637023926, 0.05985352024435997, 0.06889350712299347, 0.05182843655347824]","[0.9397333264350891, 0.9414666891098022, 0.9661333560943604, 0.9484000205993652, 0.9658666849136353, 0.9725333452224731, 0.9749333262443542, 0.9710666537284851, 0.9761333465576172, 0.9690666794776917, 0.9785333275794983, 0.980400025844574, 0.9782666563987732, 0.9769333600997925, 0.9806666374206543]",0.9822017798220178
ResNet50,"[1.2317768335342407, 0.2633221745491028, 0.18830256164073944, 0.1688724011182785, 0.15540289878845215, 0.14202848076820374, 0.13754704594612122, 0.1609112024307251, 0.10679753124713898, 0.09752783179283142, 0.09686461836099625, 0.09453007578849792, 0.08075383305549622, 0.07520889490842819, 0.08100328594446182]","[0.785937488079071, 0.906705915927887, 0.930062472820282, 0.940500020980835, 0.9459645748138428, 0.948312520980835, 0.9518502354621887, 0.9516875147819519, 0.9616249799728394, 0.9649375081062317, 0.9668750166893005, 0.9651868939399719, 0.9720743894577026, 0.9747499823570251, 0.9723248481750488]","[0.7050321102142334, 1.0442719459533691, 0.29385435581207275, 0.373240202665329, 0.179299995303154, 0.1632990837097168, 0.39935970306396484, 0.6366479396820068, 0.4894857406616211, 0.1034250408411026, 0.1528197079896927, 0.11018632352352142, 0.12817783653736115, 0.11354086548089981, 0.07800537347793579]","[0.41999998688697815, 0.7286666631698608, 0.9202666878700256, 0.9222666621208191, 0.9305333495140076, 0.9435999989509583, 0.9200000166893005, 0.9070666432380676, 0.9107999801635742, 0.9603999853134155, 0.939466655254364, 0.9597333073616028, 0.9542666673660278, 0.968666672706604, 0.9698666930198669]",0.9756024397560243
